DGRP,time,event,censor,tray
DGRP-91,1.218055556,6,1,2
DGRP-91,2.0375,39,1,2
DGRP-91,2.233333333,11,1,2
DGRP-91,3.014583333,60,1,2
DGRP-91,3.231944444,11,1,2
DGRP-91,4.013888889,16,1,2
DGRP-91,4.213888889,2,1,2
DGRP-91,5.015277778,2,1,2
DGRP-91,5.208333333,0,1,2
DGRP-91,6.033333333,1,1,2
DGRP-91,6.2125,0,1,2
DGRP-91,7.034722222,0,1,2
DGRP-379,0,0,1,2
DGRP-379,0.225694444,0,1,2
DGRP-379,1.006944444,0,1,2
DGRP-379,1.218055556,0,1,2
DGRP-379,2.0375,0,1,2
DGRP-379,2.233333333,0,1,2
DGRP-379,3.014583333,9,1,2
DGRP-379,3.231944444,1,1,2
DGRP-379,4.013888889,53,1,2
DGRP-379,4.213888889,13,1,2
DGRP-379,5.015277778,57,1,2
DGRP-379,5.208333333,14,1,2
DGRP-379,6.033333333,6,1,2
DGRP-379,6.2125,1,1,2
DGRP-379,7.034722222,1,1,2
DGRP-362,0,0,1,2
DGRP-362,0.225694444,0,1,2
DGRP-362,1.006944444,0,1,2
DGRP-362,1.218055556,0,1,2
DGRP-362,2.0375,1,1,2
DGRP-362,2.233333333,0,1,2
DGRP-362,3.014583333,5,1,2
DGRP-362,3.231944444,1,1,2
DGRP-362,4.013888889,41,1,2
DGRP-362,4.213888889,21,1,2
DGRP-362,5.015277778,65,1,2
DGRP-362,5.208333333,9,1,2
DGRP-362,6.033333333,6,1,2
DGRP-362,6.2125,0,1,2
DGRP-362,7.034722222,0,1,2
DGRP-732,0,0,1,2
DGRP-732,0.225694444,0,1,2
DGRP-732,1.006944444,0,1,2
DGRP-732,1.218055556,0,1,2
DGRP-732,2.0375,31,1,2
DGRP-732,2.233333333,15,1,2
DGRP-732,3.014583333,74,1,2
DGRP-732,3.231944444,21,1,2
DGRP-732,4.013888889,7,1,2
DGRP-732,4.213888889,1,1,2
DGRP-732,5.015277778,1,1,2
DGRP-732,5.208333333,0,1,2
DGRP-732,6.033333333,0,1,2
DGRP-732,6.2125,0,1,2
DGRP-732,7.034722222,0,1,2
DGRP-371,0,0,1,2
DGRP-371,0.225694444,0,1,2
DGRP-371,1.006944444,0,1,2
DGRP-371,1.218055556,0,1,2
DGRP-371,2.0375,4,1,2
DGRP-371,2.233333333,4,1,2
DGRP-371,3.014583333,64,1,2
DGRP-371,3.231944444,23,1,2
DGRP-371,4.013888889,50,1,2
DGRP-371,4.213888889,3,1,2
DGRP-371,5.015277778,1,1,2
DGRP-371,5.208333333,0,1,2
DGRP-371,6.033333333,0,1,2
DGRP-371,6.2125,0,1,2
DGRP-371,7.034722222,0,1,2
DGRP-101,0,0,1,2
DGRP-101,0.225694444,0,1,2
DGRP-101,1.006944444,0,1,2
DGRP-101,1.218055556,0,1,2
DGRP-101,2.0375,3,1,2
DGRP-101,2.233333333,3,1,2
DGRP-101,3.014583333,90,1,2
DGRP-101,3.231944444,28,1,2
DGRP-101,4.013888889,25,1,2
DGRP-101,4.213888889,1,1,2
DGRP-101,5.015277778,0,1,2
DGRP-101,5.208333333,0,1,2
DGRP-101,6.033333333,0,1,2
DGRP-101,6.2125,0,1,2
DGRP-101,7.034722222,0,1,2
DGRP-820,0,0,1,2
DGRP-820,0.225694444,0,1,2
DGRP-820,1.006944444,0,1,2
DGRP-820,1.218055556,0,1,2
DGRP-820,2.0375,0,1,2
DGRP-820,2.233333333,0,1,2
DGRP-820,3.014583333,6,1,2
DGRP-820,3.231944444,4,1,2
DGRP-820,4.013888889,48,1,2
DGRP-820,4.213888889,36,1,2
DGRP-820,5.015277778,37,1,2
DGRP-820,5.208333333,1,1,2
DGRP-820,6.033333333,0,1,2
